Time,sum(Coindays destroyed – Blocks) – Bitcoin
24.11.2010,900356.251867129
25.11.2010,1276043.4161148100
26.11.2010,1210965.6300620400
27.11.2010,566795.6553111120
28.11.2010,181580.4917677080
29.11.2010,271182.1263917820
30.11.2010,1102025.1560086700
01.12.2010,493878.61009432900
02.12.2010,2240340.040350700
03.12.2010,216174.68065381800
04.12.2010,583785.8370649870
05.12.2010,471947.97056585600
06.12.2010,3744637.44357397
07.12.2010,2099046.087980500
08.12.2010,168393.4619039350
09.12.2010,455130.29696748300
10.12.2010,562653.6283504600
11.12.2010,789931.7827701260
12.12.2010,203730.93534970400
13.12.2010,1638570.5726638800
14.12.2010,136104.49237551300
15.12.2010,822997.9934465220
16.12.2010,217740.09861824200
17.12.2010,112341.98040902000
18.12.2010,578672.3045223770
19.12.2010,732238.0162461690
20.12.2010,3125804.870046920
21.12.2010,7990611.389018860
22.12.2010,192347.114231625
23.12.2010,225934.097930791
24.12.2010,204294.23575422500
25.12.2010,452229.79932138500
26.12.2010,375186.9837410870
27.12.2010,1296153.9270033600
28.12.2010,349568.68345826800
29.12.2010,1504416.7238132200
30.12.2010,475790.7989556780
31.12.2010,583720.5413044620
01.01.2011,116770.18047539800
02.01.2011,1468816.6174998100
03.01.2011,531761.4001243540
04.01.2011,132867.42984256800
05.01.2011,350750.62009720700
06.01.2011,535967.6920489560
07.01.2011,611805.8606829220
08.01.2011,882980.783517827
09.01.2011,384930.87659121300
10.01.2011,2062122.9236121100
11.01.2011,9099874.940514370
12.01.2011,274176.9316338350
13.01.2011,2215020.74166687
14.01.2011,1408314.3913903500
15.01.2011,268092.33312760800
16.01.2011,1775022.3217605000
17.01.2011,716519.7360122240
18.01.2011,815899.4656917760
19.01.2011,3769700.0384516400
20.01.2011,616658.0815170690
21.01.2011,611287.6473086910
22.01.2011,710391.8924056050
23.01.2011,2238007.405122210
24.01.2011,1554515.2847993600
25.01.2011,432084.4433288400
26.01.2011,3090153.8190558100
27.01.2011,29638321.094456500
28.01.2011,1656629.920116670
29.01.2011,2972121.8322461900
30.01.2011,449431.911096297
31.01.2011,2114112.8491616700
01.02.2011,1641075.2583732400
02.02.2011,1891727.4223918000
03.02.2011,651056.8248076990
04.02.2011,979646.1399155900
05.02.2011,633929.062457629
06.02.2011,1864886.265078020
07.02.2011,4823712.03171348
08.02.2011,365061.2260171360
09.02.2011,2043267.9902012500
10.02.2011,977693.8893577490
11.02.2011,2585245.7127818900
12.02.2011,576482.5589339800
13.02.2011,535658.7352552780
14.02.2011,7799000.488044120
15.02.2011,553736.548806238
16.02.2011,422953.1389759320
17.02.2011,268319.80037491000
18.02.2011,1038087.4443413000
19.02.2011,605099.4208173610
20.02.2011,901259.7547622640
21.02.2011,549102.694557521
22.02.2011,959958.6072525550
23.02.2011,388804.7231933720
24.02.2011,1432168.6753144200
25.02.2011,662412.0801227710
26.02.2011,4312443.041212900
27.02.2011,2452513.6984321000
28.02.2011,1573448.1517926300
01.03.2011,20020312.515182500
02.03.2011,795724.5033417490
03.03.2011,274618.82608032300
04.03.2011,917077.3622817440
05.03.2011,1363907.982437810
06.03.2011,230114.97390930300
07.03.2011,309434.49911638100
08.03.2011,935765.2954705440
09.03.2011,125024.95864659600
10.03.2011,359323.4605272560
11.03.2011,666540.1983989330
12.03.2011,1852725.1039744800
13.03.2011,839291.3986333160
14.03.2011,3339522.653732390
15.03.2011,1385842.142178360
16.03.2011,5552105.014846570
17.03.2011,1244587.9775149600
18.03.2011,372205.0520291760
19.03.2011,369415.5559352940
20.03.2011,194637.5106778190
21.03.2011,1102853.4460555400
22.03.2011,739438.2981378600
23.03.2011,1475223.6688083000
24.03.2011,3622534.035479670
25.03.2011,406875.36521146400
26.03.2011,3115719.225530000
27.03.2011,1540938.191982120
